,class,probs
8563,d,0.75
8564,c,0.66
8565,b,0.64
8566,a,0.7
8567,c,0.9
8568,c,0.84
8569,c,0.69
8570,d,0.6
8571,d,0.73
8572,d,0.67
8573,c,0.95
8574,b,0.61
8575,c,0.52
8576,a,0.72
8577,a,0.64
8578,b,0.92
8579,d,0.72
8580,c,0.59
8581,a,0.88
8582,b,0.7
8583,b,0.72
8584,a,0.91
8585,a,0.61
8586,a,0.84
8587,d,0.59
8588,a,0.69
8589,d,0.68
8590,c,0.59
8591,a,0.76
8592,d,0.78
8593,a,0.61
8594,a,0.71
8595,d,0.88
8596,d,0.69
8597,d,0.6
8598,d,0.87
8599,d,0.53
8600,d,0.68
8601,d,0.57
8602,d,0.65
8603,d,0.75
8604,d,0.98
8605,d,0.2
8606,a,0.61
8607,c,0.67
8608,d,0.75
8609,d,0.68
8610,a,0.68
8611,d,0.67
8612,b,0.87
8613,d,0.56
8614,c,0.56
8615,c,0.65
8616,d,0.61
8617,a,0.63
8618,a,0.81
8619,a,0.84
8620,d,0.59
8621,d,0.73
8622,c,0.65
8623,c,0.74
8624,b,0.89
8625,b,0.61
8626,c,0.63
8627,d,0.74
8628,c,0.61
8629,c,0.58
8630,a,0.64
8631,d,0.63
8632,d,0.6
8633,d,0.74
8634,b,0.7
8635,a,0.61
8636,d,0.58
8637,c,0.58
8638,d,0.7
8639,a,0.83
8640,a,0.92
8641,b,0.59
8642,c,0.6
8643,a,0.8
8644,c,0.56
8645,c,0.58
8646,d,0.6
8647,b,0.61
8648,c,0.69
8649,d,0.56
8650,b,0.62
8651,d,0.55
8652,b,0.58
8653,c,0.48
8654,d,0.63
8655,b,0.62
8656,a,0.61
8657,c,0.65
8658,a,0.9
8659,c,0.66
8660,c,0.65
8661,c,0.62
8662,b,0.64
8663,b,0.63
8664,c,0.58
8665,a,0.56
8666,c,0.6
8667,b,0.74
8668,a,0.68
8669,b,0.63
8670,b,0.9
8671,a,0.7
8672,a,0.59
8673,c,0.67
8674,b,0.82
8675,a,0.9
8676,d,0.54
8677,c,0.64
8678,d,0.59
8679,a,0.57
8680,c,0.66
8681,c,0.68
8682,c,0.64
8683,b,0.56
8684,a,0.55
8685,d,0.53
8686,d,0.65
8687,d,0.63
8688,b,0.61
8689,a,0.57
8690,b,0.59
8691,a,0.55
8692,d,0.88
8693,a,0.61
8694,b,0.64
8695,a,0.63
8696,c,0.69
8697,d,0.7
8698,b,0.64
8699,c,0.69
8700,b,0.67
8701,d,0.68
8702,c,0.66
8703,c,0.57
8704,d,0.59
8705,b,0.53
8706,d,0.58
8707,d,0.61
8708,c,0.57
8709,b,0.64
8710,b,0.75
8711,a,0.83
8712,a,0.61
8713,a,0.71
8714,b,0.63
8715,c,0.5
8716,a,0.59
8717,a,0.89
8718,d,0.74
8719,d,0.66
8720,a,0.68
8721,c,0.93
8722,a,0.73
8723,d,0.65
8724,d,0.6
8725,d,0.66
8726,d,0.72
8727,d,0.61
8728,a,0.58
8729,d,0.73
8730,c,0.66
8731,c,0.56
8732,d,0.69
8733,c,0.68
8734,a,0.84
8735,b,0.5
8736,d,0.61
8737,d,0.53
8738,b,0.67
8739,b,0.96
8740,c,0.7
8741,d,0.99
8742,c,0.65
8743,b,0.64
8744,c,0.57
8745,a,0.58
8746,d,0.76
8747,b,0.7
8748,a,0.59
8749,b,0.74
8750,c,0.82
8751,a,0.66
8752,b,0.68
8753,a,0.67
8754,d,0.91
8755,b,0.64
8756,d,0.65
8757,d,0.71
8758,c,0.62
8759,b,0.66
8760,c,0.96
8761,b,0.54
8762,c,0.88
8763,b,0.69
8764,b,0.61
8765,a,0.84
8766,a,0.62
8767,d,0.97
8768,b,0.64
8769,c,0.73
8770,a,0.84
8771,c,0.77
8772,a,0.95
8773,b,0.7
8774,a,0.91
8775,b,0.82
8776,b,0.6
8777,b,0.64
8778,d,0.69
8779,b,0.61
8780,c,0.6
8781,b,0.63
8782,a,0.7
8783,b,0.69
8784,c,0.67
8785,c,0.61
8786,d,0.65
8787,d,0.65
8788,d,0.73
8789,a,0.66
8790,d,0.96
8791,b,0.63
8792,a,0.58
8793,c,0.69
8794,d,0.66
8795,d,0.72
8796,b,0.82
8797,d,0.68
8798,d,0.66
8799,c,0.6
8800,d,0.78
8801,c,0.61
8802,b,0.54
8803,a,0.81
8804,c,0.66
8805,b,0.89
8806,d,0.59
8807,c,0.71
8808,b,0.91
8809,d,0.66
8810,b,0.6
8811,c,0.59
8812,c,0.49
8813,b,0.87
8814,c,0.6
8815,b,0.9
8816,c,0.64
8817,d,0.64
8818,b,0.98
8819,c,0.6
8820,c,0.68
8821,c,0.6
8822,d,0.8
8823,c,0.86
8824,c,0.54
8825,c,0.6
8826,d,0.58
8827,c,0.78
8828,d,0.81
8829,c,0.54
8830,b,0.89
8831,b,0.62
8832,c,0.48
8833,b,0.92
8834,a,0.66
8835,b,0.68
8836,a,0.83
8837,b,0.66
8838,a,0.62
8839,b,0.56
8840,c,0.93
8841,b,0.64
8842,d,0.74
8843,b,0.63
8844,c,0.78
8845,b,0.61
8846,b,0.55
8847,d,0.67
8848,b,0.93
8849,d,0.61
8850,a,0.71
8851,a,0.75
8852,b,0.58
8853,b,0.78
8854,b,0.99
8855,b,0.86
8856,b,0.72
8857,d,0.61
8858,a,0.63
8859,b,0.7
8860,c,0.62
8861,b,0.53
8862,b,0.74
8863,b,0.61
8864,a,0.87
8865,c,0.64
8866,d,0.87
8867,a,0.83
8868,d,0.72
8869,c,0.59
8870,c,0.89
8871,d,0.7
8872,c,0.59
8873,a,0.81
8874,c,0.65
8875,c,0.82
8876,d,0.69
8877,c,0.79
8878,a,0.79
8879,a,0.64
8880,a,0.69
8881,a,0.75
8882,a,0.65
8883,c,0.77
8884,c,0.7
8885,c,0.74
8886,a,0.58
8887,d,0.67
8888,b,0.7
8889,d,0.7
8890,d,0.63
8891,c,0.88
8892,d,0.71
8893,a,0.71
8894,c,0.68
8895,b,0.64
8896,a,0.64
8897,b,0.71
8898,a,0.64
8899,a,0.57
8900,b,0.6
8901,c,0.88
8902,d,0.72
8903,a,0.96
8904,d,0.72
8905,a,0.8
8906,c,0.62
8907,b,0.72
8908,b,0.58
8909,d,0.68
8910,a,0.73
8911,c,0.62
8912,b,0.65
8913,d,0.68
8914,a,0.65
8915,b,0.81
8916,c,0.65
8917,c,0.59
8918,b,0.89
8919,b,0.64
8920,d,0.59
8921,d,0.64
8922,b,0.72
8923,c,0.89
8924,a,0.6
8925,c,0.83
8926,c,0.64
8927,d,0.77
8928,d,0.84
8929,c,0.56
8930,d,0.71
8931,d,0.56
8932,a,0.98
8933,d,0.95
8934,c,0.89
8935,c,0.66
8936,a,0.68
8937,c,0.65
8938,a,0.65
8939,a,0.57
8940,a,0.76
8941,c,0.72
8942,c,0.53
8943,b,0.67
8944,a,0.93
8945,a,0.56
8946,d,0.63
8947,d,0.55
8948,a,0.76
8949,d,0.62
8950,a,0.28
8951,a,0.62
8952,a,0.84
8953,a,0.63
8954,a,0.62
8955,a,0.64
8956,b,0.66
8957,b,0.82
8958,d,0.62
8959,d,0.74
8960,d,0.58
8961,c,0.87
8962,a,0.91
8963,a,0.65
8964,a,0.77
8965,b,0.58
8966,d,0.7
8967,b,0.59
8968,b,0.64
8969,b,0.4
8970,b,0.55
8971,a,0.6
8972,d,0.77
8973,b,0.91
8974,d,0.59
8975,a,0.59
8976,b,0.9
8977,b,0.61
8978,a,0.61
8979,a,0.67
8980,a,0.7
8981,a,0.81
8982,b,0.72
8983,a,0.65
8984,a,0.66
8985,b,0.59
8986,c,0.69
8987,c,0.56
8988,a,0.8
8989,c,0.74
8990,c,0.63
8991,c,0.7
8992,b,0.68
8993,d,0.69
8994,b,0.62
8995,d,0.87
8996,c,0.8
8997,c,0.59
8998,d,0.61
8999,d,0.58
9000,d,0.63
9001,c,0.68
9002,b,0.71
9003,b,0.64
9004,d,0.63
9005,c,0.94
9006,c,0.56
9007,d,0.59
9008,b,0.58
9009,a,0.7
9010,a,0.62
9011,d,0.63
9012,c,0.61
9013,b,0.69
9014,b,0.61
9015,d,0.57
9016,d,0.59
9017,c,0.99
9018,d,0.61
9019,b,0.7
9020,a,0.59
9021,a,0.88
9022,d,0.62
9023,a,0.55
9024,d,0.63
9025,c,0.69
9026,d,0.59
9027,d,0.59
9028,d,0.81
9029,d,0.58
9030,c,0.7
9031,a,0.72
9032,b,0.7
9033,a,0.56
9034,d,0.61
9035,c,0.55
9036,a,0.61
9037,c,0.77
9038,b,0.0
9039,d,0.58
9040,a,0.63
9041,d,0.67
9042,c,0.84
9043,b,0.59
9044,b,0.89
9045,d,0.49
9046,b,0.87
9047,c,0.61
9048,b,0.58
9049,b,0.74
9050,c,0.66
9051,d,0.73
9052,c,0.86
9053,c,0.71
9054,c,0.65
9055,b,0.83
9056,a,0.65
9057,c,0.93
9058,a,0.54
9059,a,0.96
9060,b,0.61
9061,b,0.64
9062,d,0.61
9063,d,0.76
9064,a,0.56
9065,c,0.98
9066,c,0.65
9067,a,0.56
9068,c,0.8
9069,a,0.59
9070,a,0.62
9071,b,0.83
9072,a,0.52
9073,d,0.68
9074,d,0.61
9075,a,0.65
9076,a,0.57
9077,b,0.63
9078,c,0.63
9079,c,0.67
9080,c,0.71
9081,d,0.95
9082,d,0.61
9083,b,0.67
9084,c,0.63
9085,d,0.89
9086,a,0.73
9087,c,0.91
9088,c,0.75
9089,d,0.7
9090,a,0.55
9091,c,0.88
9092,a,0.69
9093,a,0.7
9094,b,0.97
9095,c,0.56
9096,d,0.6
9097,c,0.69
9098,b,0.93
9099,a,0.6
9100,d,0.64
9101,d,0.58
9102,d,0.66
9103,c,0.7
9104,b,0.88
9105,c,0.7
9106,c,0.55
9107,a,0.66
9108,b,0.67
9109,c,0.65
9110,c,0.6
9111,b,0.61
9112,a,0.9
9113,b,0.66
9114,c,0.59
9115,a,0.65
9116,c,0.61
9117,b,0.74
9118,b,0.54
9119,a,0.55
9120,b,0.66
9121,b,0.61
9122,d,0.65
9123,a,0.86
9124,c,0.89
9125,c,0.63
9126,d,0.61
9127,c,0.87
9128,a,0.71
9129,c,0.58
9130,b,0.63
9131,d,0.67
9132,a,0.88
9133,a,0.86
9134,b,0.71
9135,a,0.6
9136,c,0.97
9137,d,0.63
9138,b,0.69
9139,d,0.67
9140,c,0.65
9141,c,0.8
9142,a,0.62
9143,d,0.78
9144,b,0.72
9145,c,0.75
9146,c,0.91
9147,d,0.66
9148,c,0.58
9149,d,0.8
9150,a,0.98
9151,c,0.92
9152,b,0.85
9153,d,0.61
9154,d,0.81
9155,d,0.54
9156,d,0.58
9157,c,0.69
9158,d,0.7
9159,b,0.57
9160,c,0.7
9161,b,0.63
9162,d,0.62
9163,a,0.62
9164,d,0.66
9165,d,0.87
9166,d,0.59
9167,d,0.72
9168,b,0.66
9169,d,0.89
9170,b,0.84
9171,c,0.71
9172,c,0.82
9173,b,0.7
9174,d,0.68
9175,c,0.49
9176,b,0.56
9177,d,0.67
9178,a,0.53
9179,d,0.66
9180,d,0.98
9181,b,0.58
9182,b,0.72
9183,b,0.6
9184,d,0.62
9185,c,0.61
9186,d,0.64
9187,b,0.59
9188,d,0.57
9189,c,0.79
9190,b,0.58
9191,b,0.62
9192,b,0.64
9193,b,0.65
9194,c,0.56
9195,d,0.63
9196,c,0.7
9197,a,0.96
9198,a,0.96
9199,c,0.51
9200,d,0.83
9201,a,0.0
9202,a,0.89
9203,d,0.67
9204,b,0.62
9205,d,0.65
9206,d,0.64
9207,a,0.81
9208,c,0.69
9209,a,0.54
9210,a,0.75
9211,b,0.62
9212,b,0.67
9213,a,0.59
9214,a,0.62
9215,c,0.57
9216,c,0.67
9217,c,0.72
9218,b,0.74
9219,a,0.6
9220,c,0.54
9221,b,0.74
9222,b,0.69
9223,a,0.66
9224,b,0.83
9225,d,0.64
9226,c,0.64
9227,b,0.71
9228,d,0.6
9229,d,0.63
9230,d,0.68
9231,c,0.83
9232,b,0.92
9233,d,0.63
9234,b,0.59
9235,c,0.52
9236,d,0.59
9237,b,0.7
9238,c,0.59
9239,a,0.58
9240,d,0.65
9241,d,0.68
9242,c,0.81
9243,a,0.65
9244,b,0.54
9245,a,0.81
9246,c,0.67
9247,d,0.65
9248,a,0.78
9249,a,0.63
9250,d,0.51
9251,b,0.58
9252,b,0.74
9253,a,0.99
9254,c,0.57
9255,a,0.59
9256,a,0.71
9257,d,0.64
9258,d,0.59
9259,c,0.53
9260,d,0.62
9261,b,0.67
9262,a,0.83
9263,c,0.79
9264,d,0.89
9265,b,0.66
9266,c,0.58
9267,b,0.55
9268,d,0.64
9269,d,0.58
9270,a,0.71
9271,d,0.89
9272,c,0.84
9273,a,0.94
9274,d,0.63
9275,d,0.58
9276,d,0.85
9277,b,0.66
9278,b,0.55
9279,d,0.58
9280,a,0.65
9281,a,0.54
9282,a,0.65
9283,a,0.65
9284,d,0.88
9285,c,0.89
9286,d,0.93
9287,c,0.59
9288,b,0.59
9289,b,0.67
9290,d,0.64
9291,a,0.61
9292,c,0.62
9293,a,0.6
9294,a,0.65
9295,d,0.71
9296,b,0.56
9297,c,0.0
9298,a,0.62
9299,b,0.59
9300,b,0.87
9301,c,0.62
9302,a,0.62
9303,b,0.9
9304,a,0.67
9305,c,0.71
9306,c,0.65
9307,c,0.6
9308,c,0.66
9309,c,0.55
9310,d,0.62
9311,c,0.72
9312,a,0.66
9313,b,0.63
9314,d,0.72
9315,c,0.63
9316,b,0.87
9317,a,0.63
9318,b,0.66
9319,c,0.61
9320,c,0.6
9321,d,0.55
9322,c,0.72
9323,b,0.69
9324,b,0.59
9325,a,0.64
9326,a,0.63
9327,d,0.62
9328,c,0.6
9329,a,0.64
9330,b,0.62
9331,b,0.73
9332,c,0.66
9333,a,0.81
9334,c,0.61
9335,b,0.67
9336,b,0.58
9337,c,0.66
9338,c,0.7
9339,d,0.57
9340,d,0.59
9341,b,0.76
9342,d,0.45
9343,c,0.77
9344,d,0.92
9345,b,0.83
9346,a,0.69
9347,c,0.71
9348,b,0.57
9349,d,0.68
9350,a,0.63
9351,a,0.73
9352,b,0.69
9353,b,0.77
9354,a,0.67
9355,a,0.96
9356,d,0.69
9357,b,0.66
9358,c,0.54
9359,a,0.63
9360,a,0.69
9361,a,0.53
9362,a,0.58
9363,b,0.61
9364,a,0.58
9365,b,0.73
9366,d,0.7
9367,a,0.59
9368,a,0.54
9369,b,0.64
9370,d,0.6
9371,c,0.9
9372,b,0.88
9373,b,0.64
9374,b,0.77
9375,c,0.62
9376,d,0.96
9377,a,0.73
9378,b,0.88
9379,a,0.72
9380,d,0.6
9381,a,0.85
9382,d,0.94
9383,a,0.59
9384,d,0.65
9385,d,0.91
9386,c,0.62
9387,c,0.61
9388,c,0.61
9389,d,0.58
9390,a,0.58
9391,c,0.66
9392,a,0.81
9393,d,0.64
9394,d,0.66
9395,b,0.62
9396,c,0.7
9397,b,0.71
9398,c,0.75
9399,b,0.66
9400,b,0.64
9401,b,0.88
9402,b,0.86
9403,a,0.58
9404,a,0.66
9405,a,0.63
9406,a,0.58
9407,c,0.67
9408,d,0.6
9409,b,0.68
9410,a,0.69
9411,d,0.85
9412,b,0.87
9413,b,0.68
9414,d,0.6
9415,c,0.64
9416,c,0.68
9417,c,0.63
9418,b,0.54
9419,a,0.91
9420,c,0.69
9421,b,0.82
9422,d,0.6
9423,c,0.69
9424,a,0.64
9425,c,0.66
9426,c,0.89
9427,a,0.62
9428,d,0.66
9429,a,0.77
9430,d,0.68
9431,a,0.67
9432,a,0.91
9433,d,0.9
9434,c,0.82
9435,b,0.96
9436,d,0.67
9437,c,0.67
9438,b,0.68
9439,a,0.54
9440,a,0.97
9441,a,0.69
9442,c,0.76
9443,b,0.94
9444,c,0.9
9445,d,0.56
9446,d,0.55
9447,b,0.66
9448,c,0.46
9449,c,0.57
9450,a,0.47
9451,b,0.6
9452,d,0.6
9453,d,0.58
9454,c,0.85
9455,a,0.6
9456,b,0.85
9457,c,0.7
9458,d,0.73
9459,d,0.78
9460,a,0.66
9461,c,0.64
9462,a,0.6
9463,c,0.58
9464,d,0.94
9465,c,0.65
9466,d,0.59
9467,a,0.61
9468,d,0.74
9469,c,0.63
9470,d,0.69
9471,b,0.69
9472,c,0.63
9473,d,0.6
9474,a,0.54
9475,a,0.0
9476,c,0.65
9477,c,0.62
9478,c,0.34
9479,b,0.65
9480,b,0.61
9481,d,0.83
9482,d,0.6
9483,a,0.58
9484,a,0.69
9485,d,0.61
9486,b,0.61
9487,b,0.67
9488,d,0.7
9489,b,0.76
9490,c,0.7
9491,d,0.57
9492,d,0.55
9493,a,0.72
9494,b,0.57
9495,b,0.74
9496,d,0.67
9497,c,0.67
9498,b,0.83
9499,b,0.83
9500,d,0.64
9501,b,0.68
9502,b,0.62
9503,d,0.84
9504,a,0.71
9505,b,0.67
9506,d,0.54
9507,a,0.71
9508,a,0.68
9509,b,0.98
9510,b,0.88
9511,a,0.82
9512,b,0.66
9513,d,0.63
9514,b,0.77
9515,c,0.75
9516,d,0.67
9517,d,0.68
9518,b,0.67
9519,d,0.57
9520,a,0.59
9521,c,0.65
9522,d,0.64
9523,c,0.58
9524,c,0.65
9525,c,0.62
9526,d,0.58
9527,a,0.71
9528,b,0.55
9529,d,0.62
9530,a,0.66
9531,c,0.64
9532,c,0.68
9533,c,0.64
9534,a,0.71
9535,c,0.7
9536,c,0.85
9537,a,0.57
9538,d,0.67
9539,a,0.65
9540,c,0.67
9541,b,0.66
9542,d,0.85
9543,a,0.88
9544,c,0.56
9545,a,0.55
9546,a,0.64
9547,c,0.86
9548,c,0.91
9549,a,0.75
9550,c,0.91
9551,a,0.72
9552,b,0.6
9553,d,0.59
9554,b,0.56
9555,d,0.88
9556,c,0.58
9557,b,0.73
9558,d,0.59
9559,b,0.56
9560,c,0.56
9561,a,0.58
9562,a,0.57
9563,c,0.65
9564,b,0.7
9565,b,0.57
9566,a,0.68
9567,b,0.56
9568,a,0.74
9569,c,0.65
9570,d,0.96
9571,d,0.86
9572,b,0.72
9573,a,0.57
9574,d,0.66
9575,b,0.93
9576,d,0.63
9577,a,0.7
9578,c,0.72
9579,d,0.93
9580,d,0.63
9581,a,0.59
9582,a,0.88
9583,c,0.93
9584,d,0.61
9585,b,0.6
9586,d,0.72
9587,b,0.62
9588,a,0.65
9589,a,0.65
9590,b,0.67
9591,a,0.65
9592,c,0.63
9593,b,0.74
9594,a,0.64
9595,b,0.6
9596,a,0.89
9597,c,0.97
9598,a,0.59
9599,c,0.76
9600,b,0.67
9601,a,0.67
9602,c,0.94
9603,c,0.7
9604,c,0.96
9605,d,0.5
9606,d,0.65
9607,c,0.93
9608,a,0.77
9609,b,0.71
9610,b,0.59
9611,a,0.62
9612,b,0.74
9613,c,0.63
9614,c,0.66
9615,d,0.7
9616,c,0.61
9617,d,0.72
9618,d,0.67
9619,b,0.58
9620,b,0.68
9621,b,0.63
9622,d,0.61
9623,c,0.65
9624,c,0.88
9625,a,0.66
9626,c,0.71
9627,c,0.91
9628,d,0.69
9629,c,0.66
9630,b,0.59
9631,a,0.55
9632,c,0.91
9633,d,0.84
9634,c,0.57
9635,c,0.64
9636,b,0.67
9637,a,0.94
9638,b,0.63
9639,b,0.59
9640,a,0.65
9641,d,0.73
9642,a,0.63
9643,a,0.7
9644,d,0.62
9645,b,0.66
9646,c,0.71
9647,d,0.7
9648,a,0.65
9649,c,0.66
9650,d,0.8
9651,d,0.63
9652,b,0.89
9653,d,0.69
9654,b,0.93
9655,d,0.93
9656,a,0.61
9657,c,0.67
9658,b,0.7
9659,c,0.67
9660,b,0.61
9661,a,0.88
9662,a,0.66
9663,d,0.58
9664,d,0.64
9665,a,0.96
9666,a,0.79
9667,b,0.88
9668,d,0.59
9669,c,0.56
9670,c,0.64
9671,b,0.67
9672,a,0.85
9673,c,0.69
9674,b,0.57
9675,d,0.73
9676,d,0.94
9677,b,0.81
9678,c,0.65
9679,b,0.62
9680,c,0.58
9681,c,0.89
9682,d,0.6
9683,a,0.69
9684,b,0.55
9685,d,0.73
9686,d,0.63
9687,b,0.51
9688,b,0.58
9689,b,0.77
9690,c,0.74
9691,d,0.61
9692,c,0.87
9693,a,0.49
9694,b,0.98
9695,c,0.61
9696,c,0.55
9697,b,0.7
9698,d,0.69
9699,a,0.7
9700,a,0.69
9701,c,0.81
9702,d,0.67
9703,c,0.59
9704,a,0.5
9705,d,0.76
9706,c,0.67
9707,d,0.69
9708,b,0.66
9709,b,0.64
9710,d,0.63
9711,a,0.68
9712,a,0.68
9713,d,0.61
9714,c,0.78
9715,b,0.7
9716,c,0.76
9717,d,0.66
9718,d,0.7
9719,d,0.89
9720,d,0.65
9721,c,0.56
9722,d,0.71
9723,c,0.6
9724,c,0.58
9725,d,0.61
9726,c,0.67
9727,c,0.7
9728,b,0.73
9729,a,0.7
9730,c,0.87
9731,b,0.66
9732,a,0.67
9733,a,0.63
9734,c,0.68
9735,d,0.6
9736,c,0.65
9737,d,0.91
9738,d,0.6
9739,c,0.65
9740,b,0.7
9741,a,0.61
9742,b,0.7
9743,d,0.91
9744,a,0.75
9745,b,0.71
9746,c,0.55
9747,d,0.69
9748,b,0.57
9749,d,0.66
9750,d,0.94
9751,b,0.58
9752,a,0.63
9753,a,0.68
9754,d,0.64
9755,c,0.78
9756,d,0.66
9757,b,0.66
9758,b,0.59
9759,d,0.62
9760,b,0.67
9761,b,0.57
9762,d,0.78
9763,b,0.63
9764,d,0.6
9765,d,0.68
9766,b,0.76
9767,d,0.87
9768,d,0.92
9769,a,0.87
9770,b,0.72
9771,c,0.72
9772,b,0.72
9773,c,0.68
9774,a,0.85
9775,a,0.61
9776,c,0.71
9777,b,0.59
9778,c,0.66
9779,a,0.6
9780,c,0.81
9781,a,0.75
9782,d,0.57
9783,d,0.81
9784,b,0.68
9785,a,0.6
9786,b,0.85
9787,a,0.74
9788,d,0.68
9789,b,0.62
9790,a,0.73
9791,b,0.59
9792,d,0.63
9793,d,0.67
9794,d,0.6
9795,d,0.63
9796,d,0.67
9797,d,0.54
9798,c,0.7
9799,a,0.55
9800,b,0.66
9801,c,0.58
9802,d,0.7
9803,b,0.62
9804,b,0.97
9805,d,0.78
9806,b,0.64
9807,b,0.8
9808,b,0.69
9809,d,0.64
9810,c,0.74
9811,c,0.64
9812,b,0.91
9813,b,0.84
9814,b,0.59
9815,b,0.8
9816,a,0.7
9817,b,0.58
9818,a,0.54
9819,b,0.87
9820,a,0.6
9821,a,0.72
9822,d,0.64
9823,a,0.74
9824,d,0.56
9825,a,0.68
9826,d,0.57
9827,b,0.56
9828,a,0.63
9829,d,0.75
9830,a,0.64
9831,a,0.62
9832,b,0.7
9833,d,0.95
9834,d,0.78
9835,b,0.7
9836,a,0.77
9837,a,0.77
9838,a,0.54
9839,d,0.61
9840,c,0.8
9841,a,0.47
9842,d,0.74
9843,b,0.64
9844,b,0.72
9845,b,0.88
9846,b,0.69
9847,c,0.68
9848,c,0.54
9849,a,0.62
9850,b,0.66
9851,a,0.83
9852,a,0.93
9853,d,0.63
9854,c,0.58
9855,d,0.59
9856,a,0.67
9857,c,0.52
9858,d,0.61
9859,b,0.68
9860,b,0.7
9861,d,0.62
9862,d,0.62
9863,c,0.64
9864,d,0.64
9865,c,0.97
9866,d,0.66
9867,b,0.62
9868,c,0.64
9869,d,0.84
9870,b,0.66
9871,d,0.53
9872,a,0.64
9873,a,0.68
9874,b,0.68
9875,a,0.7
9876,c,0.65
9877,a,0.67
9878,c,0.46
9879,b,0.65
9880,c,0.57
9881,d,0.71
9882,c,0.64
9883,c,0.63
9884,b,0.6
9885,a,0.65
9886,c,0.57
9887,b,0.66
9888,b,0.68
9889,d,0.64
9890,d,0.65
9891,d,0.62
9892,d,0.65
9893,b,0.97
9894,a,0.62
9895,d,0.74
9896,b,0.95
9897,c,0.56
9898,b,0.64
9899,d,0.63
9900,b,0.84
9901,d,0.64
9902,b,0.54
9903,b,0.61
9904,a,0.65
9905,c,0.63
9906,a,0.62
9907,a,0.6
9908,d,0.68
9909,c,0.61
9910,b,0.9
9911,a,0.94
9912,c,0.56
9913,a,0.71
9914,b,0.64
9915,a,0.7
9916,d,0.74
9917,d,0.74
9918,d,0.99
9919,b,0.65
9920,d,0.66
9921,d,0.63
9922,a,0.94
9923,b,0.57
9924,c,0.68
9925,a,0.66
9926,b,0.61
9927,a,0.49
9928,b,0.94
9929,d,0.58
9930,b,0.94
9931,a,0.8
9932,b,0.66
9933,b,0.57
9934,a,0.63
9935,b,0.59
9936,b,0.71
9937,c,0.81
9938,c,0.7
9939,d,0.63
9940,d,0.73
9941,d,0.71
9942,b,0.71
9943,d,0.64
9944,d,0.61
9945,d,0.74
9946,d,0.79
9947,a,0.6
9948,b,0.89
9949,a,0.63
9950,b,0.61
9951,b,0.73
9952,b,0.58
9953,c,0.57
9954,c,0.81
9955,a,0.69
9956,a,0.89
9957,b,0.74
9958,d,0.72
9959,c,0.6
9960,c,0.64
9961,c,0.67
9962,c,0.74
9963,a,0.68
9964,a,0.58
9965,c,0.63
9966,d,0.68
9967,c,0.8
9968,c,0.55
9969,c,0.72
9970,a,0.64
9971,b,0.59
9972,b,0.6
9973,b,0.59
9974,a,0.68
9975,a,0.6
9976,c,0.75
9977,d,0.59
9978,a,0.66
9979,b,0.62
9980,d,0.61
9981,c,0.79
9982,c,0.81
9983,c,0.55
9984,c,0.62
9985,c,0.69
9986,d,0.64
9987,b,0.95
9988,a,0.65
9989,b,0.69
9990,b,0.71
9991,a,0.7
9992,c,0.65
9993,c,0.52
9994,a,0.69
9995,c,0.77
9996,b,0.91
9997,d,0.71
9998,b,0.64
9999,a,0.66
10000,d,0.74
10001,c,0.9
10002,a,0.69
10003,d,0.62
10004,c,0.55
10005,d,0.78
10006,c,0.56
10007,c,0.54
10008,c,0.63
10009,b,0.72
10010,c,0.9
10011,b,0.62
10012,d,0.74
10013,b,0.62
10014,a,0.88
10015,c,0.66
10016,b,0.76
10017,c,0.67
10018,d,0.69
10019,c,0.58
10020,a,0.58
10021,b,0.63
10022,c,0.65
10023,d,0.67
10024,a,0.98
10025,c,0.69
10026,a,0.68
10027,c,0.73
10028,a,0.7
10029,b,0.72
10030,b,0.58
10031,c,0.84
10032,b,0.56
10033,d,0.61
10034,b,0.62
10035,a,0.47
10036,d,0.58
10037,d,0.6
10038,d,0.66
10039,d,0.6
10040,c,0.96
10041,a,0.6
10042,b,0.5
10043,a,0.93
10044,a,0.53
10045,b,0.71
10046,a,0.71
10047,b,0.53
10048,a,0.91
10049,d,0.72
10050,b,0.69
10051,c,0.64
10052,b,0.63
10053,d,0.72
10054,a,0.76
10055,d,0.64
10056,a,0.76
10057,c,0.9
10058,d,0.67
10059,b,0.63
10060,c,0.96
10061,c,0.59
10062,a,0.65
10063,d,0.58
10064,c,0.65
10065,b,0.74
10066,b,0.45
10067,d,0.7
10068,b,0.6
10069,a,0.49
10070,a,0.61
10071,a,0.65
10072,b,0.61
10073,a,0.6
10074,a,0.66
10075,c,0.49
10076,c,0.78
10077,a,0.72
10078,b,0.58
10079,c,0.07
10080,c,1.0
10081,c,0.95
10082,a,0.55
10083,c,0.83
10084,d,0.87
10085,a,0.75
10086,c,0.55
10087,c,0.56
10088,c,0.57
10089,a,0.74
10090,c,0.63
10091,d,0.6
10092,b,0.59
10093,b,0.62
10094,a,0.64
10095,d,0.54
10096,d,0.62
10097,b,0.6
10098,c,0.68
10099,a,0.9
10100,d,0.6
10101,b,0.66
10102,a,0.57
10103,b,0.62
10104,c,0.94
10105,c,0.62
10106,d,0.64
10107,d,0.71
10108,b,0.55
10109,c,0.76
10110,a,0.56
10111,d,0.95
10112,c,0.57
10113,a,0.67
10114,c,0.66
10115,c,0.93
10116,a,0.61
